Feature Name,Feature Type,Lat,Lon,WKT
Bradford Interchange,Station,53.7908656,-1.7490903,POINT(-1.7490903 53.7908656)
Bradford Forster Square,Station,53.7969192,-1.7528312,POINT(-1.7528312 53.7969192)
Low Moor,Station,53.7501367,-1.7523839,POINT(-1.7523839 53.7501367)
Halifax,Station,53.7208359,-1.8536537,POINT(-1.8536537 53.7208359)
Sowerby Bridge,Station,53.7078483,-1.9072266,POINT(-1.9072266 53.7078483)
Mytholmroyd,Station,53.7290783,-1.981754,POINT(-1.981754 53.7290783)
Hebden Bridge,Station,53.7376543,-2.0089468,POINT(-2.0089468 53.7376543)
Todmorden,Station,53.713858,-2.0997573,POINT(-2.0997573 53.713858)
Frizinghall,Station,53.8203108,-1.7689584,POINT(-1.7689584 53.8203108)
Shipley,Station,53.8331301,-1.7734264,POINT(-1.7734264 53.8331301)
Saltaire,Station,53.8385598,-1.7907973,POINT(-1.7907973 53.8385598)
Bingley,Station,53.8487153,-1.837164,POINT(-1.837164 53.8487153)
Crossflatts,Station,53.858299,-1.844476,POINT(-1.844476 53.858299)
Keighley,Station,53.867932,-1.9013628,POINT(-1.9013628 53.867932)
Steeton and Silsden,Station,53.9000518,-1.9448075,POINT(-1.9448075 53.9000518)
Apperley Bridge,Station,53.8420442,-1.7070712,POINT(-1.7070712 53.8420442)
Kirkstall Forge,Station,53.8253007,-1.627075,POINT(-1.627075 53.8253007)
Leeds,Station,53.7943021,-1.5491018,POINT(-1.5491018 53.7943021)
Bramley,Station,53.8054366,-1.6374827,POINT(-1.6374827 53.8054366)
New Pudsey,Station,53.8046713,-1.6805365,POINT(-1.6805365 53.8046713)
Mill Lane Jn,Railway Junction,53.7861131,-1.7489828,POINT(-1.7489828 53.7861131)
Shipley South Jn,Railway Junction,53.8322504,-1.7739234,POINT(-1.7739234 53.8322504)
Shipley West Jn,Railway Junction,53.8343682,-1.7757089,POINT(-1.7757089 53.8343682)
Dockfield Jn,Railway Junction,53.8368242,-1.7659261,POINT(-1.7659261 53.8368242)
